schema_type,name,description,format,created,last_modified,size,url,url_type,dkan_parent_dataset_node_id,dkan_parent_dataset_title,dkan_resource_node_id,dkan_uri
data,Post-secondary Qualification by Location of Study (National Household Survey 2011),,CSV,2018-09-19 10:10:48,2021-04-01 00:42:24,7469,https://open.yukon.ca/sites/default/files/NHS_2011_POSTSECONDARY_LOS_0.CSV,upload,61172,National Household Survey 2011 (Semi-custom Profile of Yukon Territory and Selected Regions),22453,https://open.yukon.ca/data/datasets/post-secondary-qualification-location-study-national-household-survey-2011/resource
data,Citizenship (National Household Survey 2011),,CSV,2018-09-19 10:11:20,2021-04-01 00:42:30,7104,https://open.yukon.ca/sites/default/files/NHS_2011_CITIZENSHIP_0.CSV,upload,61172,National Household Survey 2011 (Semi-custom Profile of Yukon Territory and Selected Regions),22455,https://open.yukon.ca/data/datasets/citizenship-national-household-survey-2011/resource/df34ccbd-0a7d-4bc8-af12
data,"Highest Certificate, Diploma or Degree (Census 2006)",,CSV,2018-09-19 10:11:20,2021-04-01 00:42:30,7563,https://open.yukon.ca/sites/default/files/CENSUS_2006_HIGHEST_EDU_0.CSV,upload,61170,Census 2006 (Semi-custom Profile of Yukon CSD Aggregations),22457,https://open.yukon.ca/data/datasets/highest-certificate-diploma-or-degree-census-2006/resource/70e41ea9-5a31-4b45-9f41
data,Ethnic Origin (Census 2001),,CSV,2018-09-19 10:11:20,2021-04-01 00:42:30,20289,https://open.yukon.ca/sites/default/files/CENSUS_2001_ORIGIN_0.CSV,upload,61168,Census 2001 (Semi-Custom Profile of Selected CSD Aggregates in Yukon),22461,https://open.yukon.ca/data/datasets/ethnic-origin-census-2001/resource/31d66266-f81a-4808-9685-b1187307e3af
data,Labour Force by Industry (Census 2006),,CSV,2018-09-19 10:11:20,2021-04-01 00:42:30,11134,https://open.yukon.ca/sites/default/files/CENSUS_2006_LBF_INDUSTRY_0.CSV,upload,61170,Census 2006 (Semi-custom Profile of Yukon CSD Aggregations),22463,https://open.yukon.ca/data/datasets/labour-force-industry-census-2006/resource/27cc7f16-18ba-4536-a03c-e9c1e7cd40d2
data,Labour Force by Occupation (Census 2006),,CSV,2018-09-19 10:12:05,2021-04-01 00:42:33,21084,https://open.yukon.ca/sites/default/files/CENSUS_2006_LBF_OCCUPATION_0.CSV,upload,61170,Census 2006 (Semi-custom Profile of Yukon CSD Aggregations),22465,https://open.yukon.ca/data/datasets/labour-force-occupation-census-2006/resource/21848bf1-0471-4341-970e-63537cd4bfed
data,Immigration (National Household Survey 2011),,CSV,2018-09-19 10:12:05,2021-04-01 00:42:30,18537,https://open.yukon.ca/sites/default/files/NHS_2011_IMMIGRATION_0.CSV,upload,61172,National Household Survey 2011 (Semi-custom Profile of Yukon Territory and Selected Regions),22467,https://open.yukon.ca/data/datasets/immigration-national-household-survey-2011/resource/522bf131-2e2b-4328-98cb
data,Aboriginal Population (Census 2006),,CSV,2018-09-19 10:12:05,2021-04-01 00:42:30,5261,https://open.yukon.ca/sites/default/files/CENSUS_2006_ABOR_POP_0.CSV,upload,61170,Census 2006 (Semi-custom Profile of Yukon CSD Aggregations),22471,https://open.yukon.ca/data/datasets/aboriginal-population-census-2006/resource/1e6381c2-02f6-44d6-b269-64b7caa4d880
data,Population by Sex and Age Group (Census 2001),,CSV,2018-09-19 10:12:05,2021-04-01 00:42:30,6810,https://open.yukon.ca/sites/default/files/CENSUS_2001_POP_AGE_0.CSV,upload,61168,Census 2001 (Semi-Custom Profile of Selected CSD Aggregates in Yukon),22473,https://open.yukon.ca/data/datasets/population-sex-and-age-group-census-2001/resource/14d1c7cf-ba5c-40c0-9e03-a1d715ac08a8
data,Unpaid Work (Census 2001),,CSV,2018-09-19 10:12:44,2021-04-01 00:42:33,11715,https://open.yukon.ca/sites/default/files/CENSUS_2001_UNPAID_WORK_0.CSV,upload,61168,Census 2001 (Semi-Custom Profile of Selected CSD Aggregates in Yukon),22475,https://open.yukon.ca/data/datasets/unpaid-work-census-2001/resource/c9690be6-7518-406b-8cd6-74cc524ddba3
