"SCHEMA_TYPE","NAME","DESCRIPTION","FORMAT","CREATED","LAST_MODIFIED","DOC_SIZE","URL","URL_TYPE","PARENT_ID","DKAN_PARENT_DATASET_NODE_ID","DKAN_PARENT_DATASET_TITLE","DKAN_RESOURCE_NODE_ID","DKAN_URI"
"information","Map","File is 1.61 MB",".PDF","2011-09-26 12:09:45","2021-03-02 04:03:03","","https://ygsftp.gov.yk.ca/publications/geoscience_map/1997/gm1997_1.pdf","",42030,"","","",""
"information","Map","File is 12.97 MB",".PDF","2011-05-18 09:05:04","2021-03-02 04:03:03","","https://ygsftp.gov.yk.ca/publications/geoscience_map/1998/gm1998_3.pdf","",42031,"","","",""
"information","Map","File is .8 MB",".PDF","2018-08-23 03:08:47","2021-03-02 04:03:04","","https://ygsftp.gov.yk.ca/publications/openfile/1999/of1999_13.pdf","",42032,"","","",""
"information","Appendix ","File is 4.02 MB",".PDF","2011-06-21 02:06:15","2021-03-02 04:03:03","","https://ygsftp.gov.yk.ca/publications/bulletin/bulletin13/bulletin_13_appendices.pdf","",42033,"","","",""
"information","Bulletin","File is 6.97 MB",".PDF","2011-06-21 02:06:15","2021-03-02 04:03:03","","https://ygsftp.gov.yk.ca/publications/bulletin/bulletin13/bulletin_13_colour.pdf","",42033,"","","",""
"information","Package ","","","2011-06-21 02:06:15","2018-03-20 08:03:25","","","",42033,"","","",""
"information","maps","This 90MB zip file contains geoscience maps to accompany the bulletin.","","2018-03-20 08:03:25","2021-03-02 04:03:05","","https://ygsftp.gov.yk.ca/publications/bulletin/bulletin13/bulletin13_maps.zip","",42033,"","","",""
"information","Map","File is  MB",".PDF","2011-05-17 02:05:21","2021-03-02 04:03:03","","https://ygsftp.gov.yk.ca/publications/openfile/1994/of1994_5(g).pdf","",42034,"","","",""
"information","Map","File is  MB",".PDF","2011-05-17 03:05:45","2021-03-02 04:03:03","","https://ygsftp.gov.yk.ca/publications/openfile/1995/of1995_6(g).pdf","",42035,"","","",""
"information","Bulletin","File is 2.84 MB",".PDF","2011-09-07 08:09:22","2021-03-02 04:03:03","","https://ygsftp.gov.yk.ca/publications/bulletin/bulletin10.pdf","",42036,"","","",""
"information","Map","File is .98 MB",".PDF","2011-05-17 09:05:44","2021-03-02 04:03:03","","https://ygsftp.gov.yk.ca/publications/openfile/1990/of1990_1.pdf","",42037,"","","",""
"information","Map","File is 1.86 MB",".PDF","2011-05-17 09:05:02","2021-03-02 04:03:03","","https://ygsftp.gov.yk.ca/publications/openfile/1990/of1990_3.pdf","",42038,"","","",""
"information","Map","File is 1.97 MB",".PDF","2013-10-04 10:10:19","2021-03-02 04:03:03","","https://ygsftp.gov.yk.ca/publications/geoscience_map/1998/gm1998_9.pdf","",42039,"","","",""
"information","Map","File is 1.41 MB",".PDF","2011-05-17 02:05:14","2021-03-02 04:03:03","","https://ygsftp.gov.yk.ca/publications/openfile/1994/of1994_2(g).pdf","",42040,"","","",""
"information","Map","File is 1.27 MB",".PDF","2018-08-23 10:08:32","2021-03-02 04:03:04","","https://ygsftp.gov.yk.ca/publications/geoscience_map/1997/gm1997_8.pdf","",42041,"","","",""
"information","Map","File is .6 MB",".PDF","2011-05-17 12:05:56","2021-03-02 04:03:03","","https://ygsftp.gov.yk.ca/publications/openfile/1993/of1993_3(g).pdf","",42044,"","","",""
"information","Map","File is 1.75 MB",".PDF","2011-05-16 04:05:07","2021-03-02 04:03:03","","https://ygsftp.gov.yk.ca/publications/openfile/1985/of1985_1.pdf","",42045,"","","",""
"information","Map","File is .78 MB",".PDF","2011-05-17 01:05:57","2021-03-02 04:03:03","","https://ygsftp.gov.yk.ca/publications/openfile/1993/of1993_5(g).pdf","",42046,"","","",""
"information","Maps","File is  MB",".PDF","2011-05-17 02:05:10","2021-03-02 04:03:03","","https://ygsftp.gov.yk.ca/publications/openfile/1994/of1994_7(g).pdf","",42047,"","","",""
"information","Map","File is 1.71 MB",".PDF","2018-08-23 10:08:47","2021-03-02 04:03:04","","https://ygsftp.gov.yk.ca/publications/geoscience_map/1997/gm1997_3.pdf","",42048,"","","",""
"information","Map","File is 6.26 MB",".PDF","2019-03-19 10:03:28","2021-03-02 04:03:05","","https://ygsftp.gov.yk.ca/publications/geoscience_map/1998/gm1998_5_30X42.pdf","",42049,"","","",""
"information","Glacial Limits SHP files","This file is roughly 3 MB.","","2023-02-10 02:02:43","2023-02-10 02:02:43","","https://ygsftp.gov.yk.ca/publications/geoscience_map/1999/glacial_limits_1000k.zip","",42050,"","","",""
"information","Map","File is 19.98 MB",".PDF","2011-05-18 11:05:14","2021-03-02 04:03:03","","https://ygsftp.gov.yk.ca/publications/geoscience_map/1999/gm1999_2.pdf","",42050,"","","",""
"information","Map","File is  MB",".PDF","2011-05-17 02:05:41","2021-03-02 04:03:03","","https://ygsftp.gov.yk.ca/publications/openfile/1995/of1995_1(g).pdf","",42051,"","","",""
"information","Map","File is 3.08 MB",".PDF","2018-08-23 09:08:50","2021-03-02 04:03:04","","https://ygsftp.gov.yk.ca/publications/geoscience_map/1998/gm1998_7.pdf","",42053,"","","",""
"information","Map","File is 2.84 MB",".PDF","2018-08-23 09:08:58","2021-03-02 04:03:04","","https://ygsftp.gov.yk.ca/publications/geoscience_map/1998/gm1998_8.pdf","",42054,"","","",""
"information","Map","File is 2.17 MB",".PDF","2011-10-14 01:10:16","2021-03-02 04:03:03","","https://ygsftp.gov.yk.ca/publications/openfile/1993/of1993_1(g).pdf","",42058,"","","",""
"information","Map","File is 1.68 MB",".PDF","2018-08-23 10:08:58","2021-03-02 04:03:04","","https://ygsftp.gov.yk.ca/publications/geoscience_map/1996/gm1996_2.pdf","",42059,"","","",""
"information","Map","File is  MB",".PDF","2011-10-14 01:10:00","2021-03-02 04:03:03","","https://ygsftp.gov.yk.ca/publications/openfile/1994/of1994_3(g).pdf","",42060,"","","",""
"information","Map","File is  MB",".PDF","2011-10-03 11:10:53","2021-03-02 04:03:03","","https://ygsftp.gov.yk.ca/publications/openfile/1995/of1995_3(g).pdf","",42061,"","","",""
